Título,Fonte,Publicado em,Descrição,URL
"PT lança VÍDEO pedindo taxação de ‘BBB’s: “Bilionários, Bancos e Bets”",Diariodocentrodomundo.com.br,2025-06-28T00:14:22Z,As redes sociais do Partido dos Trabalhadores (PT) divulgaram nesta quinta-feira (26) um novo vídeo defendendo o projeto do governo Lula que prevê isenção do Imposto de Renda (IR) para quem ganha até R$ 5 mil mensais. A peça também reforça a proposta de taxar…,https://www.diariodocentrodomundo.com.br/pt-lanca-video-pedindo-taxacao-de-bbbs-bilionarios-bancos-e-bets/
"Haddad diz que se AGU entender que queda do decreto usurpa prerrogativa, Lula não pode abrir mão de recorrer",Globo,2025-06-27T18:13:53Z,"Ministro da Fazenda afirmou disse entender a decisão do Congresso, de quebrar acordo para calibrar as alíquotas do imposto, e negou que as alíquotas fixadas para IOF câmbio tenham caráter arrecadatório",https://valor.globo.com/brasil/noticia/2025/06/27/haddad-diz-que-se-agu-entender-que-queda-do-decreto-usurpa-prerrogativa-lula-nao-pode-abrir-mao-de-recorrer.ghtml
O que acontecerá com o patrimônio de Virginia e Zé Felipe após divórcio,Abril.com.br,2025-06-27T14:41:11Z,Influenciadora e cantor divulgaram separação no fim de maio,https://veja.abril.com.br/coluna/veja-gente/o-que-acontecera-com-o-patrimonio-de-virginia-e-ze-felipe-apos-divorcio/
BateuBet é confiável? Confira licença no Brasil e segurança da casa,Metropoles.com,2025-06-27T14:18:03Z,"Sim, a BateuBet é confiável para quem quer apostar ou jogar em cassino. Conheça os aspectos que tornam a casa de apostas segura e confiável.",https://www.metropoles.com/apostas/casas-de-apostas/bateubet-e-confiavel
"Zé Felipe entra com processo para oficializar o divórcio de Virginia, um mês após o anúncio",Ig.com.br,2025-06-27T14:03:24Z,"Zé Felipe entrou com um processo para oficializar o divórcio de Virginia Fonseca, um mês...",https://ultimosegundo.ig.com.br/parceiros/gps-brasilia/2025-06-27/ze-felipe-entra-com-processo-para-oficializar-o-divorcio-de-virginia--um-mes-apos-o-anuncio.html
Como empresas de bets usam marketing agressivo para atrair apostadores,Terra.com.br,2025-06-27T08:27:01Z,Setor de apostas no Brasil gasta bem acima da média mundial em publicidade. Segundo ...,"https://www.terra.com.br/noticias/brasil/como-empresas-de-bets-usam-marketing-agressivo-para-atrair-apostadores,fa66a53d2e043257ab1e707900f5f3337sjwiaze.html"
Como empresas de bets usam marketing agressivo para atrair apostadores,DW (English),2025-06-27T08:08:00Z,"Setor de apostas no Brasil gasta bem acima da média mundial em publicidade. Segundo especialistas, regulação insuficiente no país também abriu porta para práticas agressivas para manter usuários presos a apostas.",https://www.dw.com/pt-br/como-empresas-de-bets-usam-marketing-agressivo-para-atrair-apostadores/a-73053254
"Tabata Amaral critica bets, apaga post e, sob pressão, refaz publicação",Diariodocentrodomundo.com.br,2025-06-26T22:42:24Z,"A deputada federal Tabata Amaral (PSB-SP) apagou uma publicação em que criticava o uso de dinheiro de casas de apostas para patrocinar as festas juninas em São Paulo. No post, intitulado “Bet é Cultura?”, a parlamentar afirmava que os festejos na capital paul…",https://www.diariodocentrodomundo.com.br/tabata-amaral-critica-bets-apaga-post-e-sob-pressao-refaz-publicacao/
,Uol.com.br,2025-06-26T20:23:16Z,"O governo arrecadou R$ 3,026 bilhões com a tributação sobre as bets e jogos de azar entre janeiro e maio deste ano, segundo divulgou hoje a Receita Federal. O valor representa um aumento de 40.000% em relação ao mesmo período do ano passado, quando for",https://economia.uol.com.br/noticias/redacao/2025/06/26/governo-arrecada-r-3-bi-com-bets-em-2025-e-registra-aumento-de-40000.htm
Tabata apaga crítica a bets que patrocinam festas do namorado prefeito,Metropoles.com,2025-06-26T19:20:37Z,"Em publicação, Tabata Amaral criticava patrocínio de bets em SP; cidade de João Campos, Recife também recebe dinheiro de sites de apostas",https://www.metropoles.com/colunas/paulo-cappelli/tabata-apaga-critica-a-bets-que-patrocinam-festas-do-namorado-prefeito
Revogação do decreto do IOF faz com que alíquotas voltem ao que eram antes; entenda,Globo,2025-06-26T16:19:44Z,Governo estuda alternativas após derrota no Congre...,https://valor.globo.com/brasil/noticia/2025/06/26/revogacao-do-decreto-do-iof-faz-com-que-aliquotas-voltem-ao-que-eram-antes-entenda.ghtml
Os impactos da regulamentação das apostas no Brasil,Globo,2025-06-26T14:37:35Z,Mercado em transição: como as novas regras moldam o futuro das apostas online no Brasil,https://valor.globo.com/patrocinado/pressworks/noticia/2025/06/26/os-impactos-da-regulamentacao-das-apostas-no-brasil.ghtml
Febraban alerta para uso de apostas digitais em esquemas financeiros ilícitos,Startupi.com.br,2025-06-26T13:47:44Z,"Startupi

Febraban alerta para uso de apostas digitais em esquemas financeiros ilícitos
O presidente da Federação Brasileira de Bancos (Febraban), Isaac Sidney, declara que as apostas esportivas online, conhecidas como bets, representam risco crescente para o…",https://startupi.com.br/febraban-alerta-bets-esquemas-ilicitos/
